Donor Agency,Project Title,Aid Modality,Type Of Assistance,Primary Sector,Implementing Agency,Date of Agreement Signed,Date of Agreement Effective,Date of Planned Completion,Type of PIU,Status,AMP ID,Cumulative Commitment,Cumulative Disbursement,2007 Q1 Actual Disbursements,2007 Q2 Actual Disbursements,2007 Q3 Actual Disbursements,2007 Q4 Actual Disbursements,2008 Q1 Actual Disbursements,2008 Q2 Actual Disbursements,2008 Q3 Actual Disbursements,2008 Q4 Actual Disbursements,2009 Q1 Actual Disbursements,2009 Q2 Actual Disbursements,2009 Q3 Actual Disbursements,2009 Q4 Actual Disbursements,2010 Q1 Actual Disbursements,2010 Q2 Actual Disbursements,2010 Q3 Actual Disbursements,2010 Q4 Actual Disbursements,2011 Q1 Actual Disbursements,2011 Q2 Actual Disbursements,2011 Q3 Actual Disbursements,2011 Q4 Actual Disbursements,Total Actual Disbursements
Food and Agriculture Organisation,Strengthed UN Coordination on Food Security and Support to the National Food Security agenda including the implementation of ASWAP,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/05/2009,31/08/2009,31/12/2009,None,Ongoing,8722612610552,29000,39248, , , , , , , , ,6540,11797,5199,15712, , , , , , , , ,39248
Food and Agriculture Organisation,Enhancing Food Security & Developing Sustainable Rural Livelihoods (NORAD FUNDS),Direct Project Support,Grant,AGRICULTURE, ,19/11/2006,,30/09/2011,NGO,Ongoing,8722611610417,5210998,2222950, , , , ,369967,365343,78010,155564,206820,275942,241996,187731,73178,24228,41589,122929,79653, , , ,2222950
Food and Agriculture Organisation,Containment of transboundary spread of Food and Mouth Disease,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,20/05/2008,01/06/2008,31/05/2009,NGO,Ongoing,8722611610416,322000,96418, , , , ,43707,29375,5047,16966,1323, , , , , , , , , , , ,96418
Food and Agriculture Organisation,TCP FACILITY,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,20/06/2008,20/06/2008,31/12/2009,None,Ongoing,8722611610415,177009,48316, , , , ,12270,19229,9595,5276, , , ,1217, , ,729, , , , , ,48316
Food and Agriculture Organisation,Input Supply to vulnerable populations under the ISFP,Direct Project Support,Grant,AGRICULTURE, ,10/11/2008,12/11/2008,31/10/2009,NGO,Ongoing,8722611610414,500000,465499, , , , , ,434112,1945,12233,17209, , , , , , , , , , , ,465499
Food and Agriculture Organisation,"Establishment of Junior Farmer Field Life Schools in Mchinji,Lilongwe,Machinga,Ntcheu and Mangochi Districts",Direct Project Support,Grant,AGRICULTURE, ,09/01/2008,09/01/2008,31/12/2008,NGO,Ongoing,8722611610413,335001,126592, , , , ,66898,54330,5364, , , , , , , , , , , , , ,126592
Food and Agriculture Organisation,Agricultural Response to Flood Affected Population ( Focusing on Response and Early Recovery ),Direct Project Support,Grant,AGRICULTURE, ,19/03/2008,07/04/2008,31/10/2008,NGO,Ongoing,8722611610412,800800,278934, , , , ,128876,145767,4291, , , , , , , , , , , , , ,278934
Food and Agriculture Organisation,Continuation of the Support towardsBuilding Resilience of Smallholder farmers to Natural and Economic Shocks through Crop Diversification and Small scale Irrigation,Direct Project Support,Grant,AGRICULTURE, ,23/09/2008,13/10/2008,30/09/2009,NGO,Closed,8722611610411,454382,412663, , , , , ,49244,239681,114677,9061, , , , , , , , , , , ,412663
Food and Agriculture Organisation,"Building Capacity for Meeting Community Level Nutrition Counselling, Care and Support Needs of PLWHA",Direct Project Support,Grant,HEALTH,Food and Agriculture Organisation,01/11/2006,,30/11/2007,NGO,Ongoing,8722611610410,67780,176522, , , , ,656,11189,1887, , , , ,109091,33867,17532,2300, , , , , ,176522
Food and Agriculture Organisation,Avian Influenza Control in Southern African Region,Direct Project Support,Grant,AGRICULTURE, ,17/03/2008,01/04/2009,30/09/2009,NGO,Ongoing,8722611610409,118700,192135, , , , ,28449,17147,34108,15654,20144,18574,5547,31851,20661, , , , , , , ,192135
Food and Agriculture Organisation,Capacity building in Farm planning & Management for extension workers and farmers,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/11/2006,01/11/2006,30/09/2008,None,Closed,872261249902,428000,232691,27713,42083, , ,9284,21963,30334,68729,31394,1191, , , , , , , , , , ,232691
Food and Agriculture Organisation,Artisanal Manufacturing of small metallic silos,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/06/2007,01/06/2007,31/08/2008,None,Ongoing,872261249900,298000,316475,80378,218707, , , , , , , , , , , , , , , , , , ,299085
Food and Agriculture Organisation,Enhancing Food Securityin Cassava based farm systems ( Malawi and Zambia),Direct Project Support,Grant,AGRICULTURE," - Food and Agriculture Organisation
 - Ministry of Agriculture and Food Security",01/07/2006,01/07/2006,30/07/2008,NGO,Closed,872261249899,750000,534367,22790,43582, , ,59296,81519,138401,36300,76855,30255,99, , , , , , , , , ,489097
Food and Agriculture Organisation,"Agricultural Input Support for Crop Diversification to Affected Smallholder Farmers in Kasungu, Ntchisi and Dowa Districts of Malawi",Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,01/03/2007,01/03/2007,31/01/2008,NGO,Closed,872261249898,322000,118487,18604,61883, , , , , , , , , , , , , , , , , , ,80487
Food and Agriculture Organisation,Avian Influenza preparedness in Malawi,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT",Food and Agriculture Organisation,01/01/2006,01/01/2006,31/03/2007,NGO,Closed,872261249895,100000,96291, , , , , , ,25061,4780, , , , , , , , , , , , ,29841
Food and Agriculture Organisation,"Promotion of small scale irrigation and crop diversification in Machinga,Kasungu,Lilongwe districts of Malawi",Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,01/01/2006,01/01/2006,30/09/2007,NGO,Closed,872261249889,230070,228475,159,10886, , , , , , , , , , , , , , , , , , ,11045
Food and Agriculture Organisation,Enhancing Livelihoods and Food and Nutrition security in Vulnerable SADC countries,Direct Project Support,Grant,AGRICULTURE,Food and Agriculture Organisation,01/01/2006,01/01/2006,30/07/2007,NGO,Closed,872261249859,1959770,1548291,304285,168996, , , , , , , , , , , , , , , , , , ,473281
Food and Agriculture Organisation,Promoting & Improving Food and Nutrition Security of Orphans and HIV/AIDS affected Children,Direct Project Support,Grant,AGRICULTURE," - Food and Agriculture Organisation
 - Ministry of Agriculture and Food Security",01/12/2003,01/12/2003,30/11/2006,NGO,Closed,872261249785,1500000,588626,31085,49541, , , , , , , , , , , , , , , , , , ,80626
Food and Agriculture Organisation,Support to Small Scale Fish Farming Enterprises,Direct Project Support,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,01/07/2006,01/07/2006,30/03/2008,None,Closed,872261249746,314000,104396,5901,11809, , ,9730,10880,5498,14413,26638,3527, , , , , , , , , , ,88396
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Promotion of Democratic Decentralization,Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT,Ministry of Local Government and Rural Development,01/11/2001,01/01/2003,01/12/2007,None,Closed,872261219757,8946431.858,8991766.748,990322.699,1044289.805,-116922.169,-16422.715,-2856.606,5935.177,-13468.035,25586.147, , , ,6933.276, , , , , , , , ,1923397.579
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Macro-Economic Advisory Service Project,Direct Project Support,Grant,ECONOMIC GOVERNANCE,Ministry of Economic Planning and Development,04/11/2003,01/07/2004,30/06/2008,None,Closed,872261219762,2454439.467,2215196.618,210970.307,285462.073,121466.306,231179.721,78566,15225.102,9033.633,1509.504,-88.744,3118.011,587.059,835.972,-2867.092,-3808.184, , , , , , ,951189.671
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Improving Basic Education (Next Phase),Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",06/12/2005,01/01/2008,31/12/2009,None,Closed,872261219842,5405328.515,7338287.104, ,59829.98,464074.978,818285.838,732518.054,919865.289,865985.308,794941.937,758291.308,937314.049,530917.637,387199.169,-15424.533,-83065.648,86084.778,43646.366,643.094,37179.495, , ,7338287.104
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Improving Basic Education,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",04/11/2003,01/01/2005,31/12/2007,None,Closed,872261219797,8866637.853,7209662.421,621225.746,954989.203,89703.526,-4287.533,-2869.779,2858.566,458.728, , ,5423.445,9722.372,-74074.89, , , , , , , ,124048.664,1727198.05
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Support to Electoral Reform and Elections in Malawi-GIZ,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Electoral Commission,14/05/2009,08/06/2009,31/12/2010, ,Closed,8722617610920,752761.489,767832.415, , , , , , , , ,720343.71,16993.818, , ,25.531,29301.101, , ,480.831,990.419,217.954,-520.951,767832.415
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Crisis Prevention Malawi - Forum for Dialogue and Peace (next phase),Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,National Assembly,30/11/2007,01/04/2008,31/08/2009,None,Closed,872261219851,1469874.913,1352645.434, , , ,202668.999,205604.036,336643.71,110782.338,258550.191,276348.781,53663.952,-10991.177,3670.921,185.103,-84481.425, , , , , , ,1352645.434
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Promoting of Democratic Decentralization (Next Phase II),Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT,Ministry of Local Government and Rural Development,06/12/2005,01/01/2008,31/12/2009,None,Closed,872261219847,0,7042972.784, , ,529125.903,1208475.004,759385.014,1570782.597,925155.923,411818.653,616902.38,475191.078,396974.472,34379.209,-15755.933,39082.153,42033.318,49423.008, , , , ,7042972.784
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Support to Local Government Elections,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,Electoral Commission,01/07/2005,01/07/2005,28/02/2007,None,Closed,872261219835,1905415.189,1021314.054,2981.824,2304.536,3138.318,7669.087,618868.907,359.274,14001.742,511.01,1280.462,49157.421,16028.317,5547.221,33015.849,98367.365,16050.68,46164.102,20790.809,5188.527,7420.464,28766.798,977612.721
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Insecticide Treatment Moskito Nets,Direct Project Support,Grant,HEALTH,Ministry of Health,01/07/2005,01/07/2005,30/11/2007,None,Closed,872261219816,1806010.402,2084589.12,445121.446,551551.945,25481.257,440230.662,5288.449,62679.923,28907.279,-1609.777,2135.512,-111.028, , , , , , , , , , ,1559675.67
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,School Feeding Program,Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",01/07/2005,01/07/2005,30/11/2008,None,Closed,872261219812,4936428.433,5641996.962,95901.664,232426.904,80874.753,1053039.797,302777.847,170693.623,99464.347,116060.267,142831.384,363939.153,108880.533,276800.862,365888.765,143976.379,144320.261,83888.114,230088.709,17202.092,608.201,-2161.811,4027501.854
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Crisis Prevention Malawi-Forum for Dialoge and Peace,Direct Project Support,Grant,DEMOCRATIC GOVERNANCE,National Assembly,04/11/2003,01/04/2005,31/03/2008,None,Closed,872261219806,3002389.902,2687208.673,159388.734,255386.018,94933.281,32534.278,905.923,4634.179,2639.754,814.127, ,21099.925, , , , , , , , , , ,572336.225
German GIZ (Gesellschaft für Internationale Zusammenarbeit) ,Promotion of Sustainable Structures for Health Delivery,Direct Project Support,Grant,HEALTH,Ministry of Health,01/11/2003,01/09/2004,31/12/2008,None,Closed,872261219802,9817757.869,6314725.396,385781.636,498274.298,111113.651,437787.01,329273.872,703235.383,132541.798,61496.584,-33631.497,52462.245,16609.879,-562.451, , , , , , , , ,2694382.413
Germany (KFW) ,Social Cash Transfer Programme,Direct Project Support,Grant,"VULNERABILITY, DISASTER AND RISK MANAGEMENT","Ministry of Gender, Children and Community Development",19/04/2011,,30/06/2015,Embedded,Ongoing,8722617611035,25743532.15,14882276.63, , , , , , , , , , , , , , , , , , ,608535.451, ,608535.451
Germany (KFW) ,Basic Education Basket Fund I & II,Education SWAp - Pooled,Grant,EDUCATION,"Ministry of Education, Science and Technology",22/04/2009,28/06/2010,30/06/2012,Embedded,Ongoing,8722612610820,26107154.42,7343337.132, , , , , , , , , , , , , , ,7343337.132, , , , , ,7343337.132
Germany (KFW) ,Health SWAP Pooled Funding II and III," - Health SWAp - Discrete
 - Health SWAp - Pooled"," - Grant
 - Technical Assistance",HEALTH,Ministry of Health,25/05/2009,25/05/2009,23/03/2012,None,Ongoing,872261149882,22162400.41,39387806.19, , , , , ,3114880.315, ,3577936.107,3521622.763, , , , , , , , ,13573713.52,200883.872,205979.698,24195016.28
Germany (KFW) ,Family Planning and AIDS Prevention Programme III (jointly funded with USAID),Direct Project Support,Grant,HEALTH,Ministry of Health,21/08/2002,01/07/2003,01/07/2006,None,Closed,872261229756,2909464.304,3210678.623,-5481.329,229015.234, ,101748.948, , , , ,30376.109, , , , , , , , , , , ,355658.963
Germany (KFW) ,"Primary School Education (Phase I (1996-99), Phase II (2000-04) and Phase III",Direct Project Support,Grant,EDUCATION,"Ministry of Education, Science and Technology",01/01/1996,01/07/2004,30/12/2012,None,Ongoing,872261229814,14053496.98,1502853.08, , , , , , , , , , , , , , , , , ,75221.448,569051.669, ,644273.117
Germany (KFW) ,Local Development Fund I - (Dedza),Direct Project Support,Grant,INTEGRATED RURAL DEVELOPMENT,Ministry of Local Government and Rural Development,,01/07/2006,01/07/2007,None,Closed,872261229820,2540553.586,2486527.008,67945.537,18223.069, , ,57627.091,37374.586, , , , , , , , , , , , , , ,181170.285
Germany (KFW) ,Health Sector Maintenance Programme (Accompanying measure),Direct Project Support,Grant,HEALTH,Ministry of Health,,01/07/2007,01/07/2009,None,Ongoing,872261229803,1370332.305,1143809.967, ,644905.477,126636.202,338729.21, , ,-9137.863,42676.939, , , , , , , , , , , , ,1143809.967
Germany (KFW) ,Accompanying Measure to the Contribution to the Health Sector SWAp & Study and Expert Fund VII,Direct Project Support,Grant,HEALTH,Ministry of Health,16/05/2007,16/05/2007,27/10/2009,None,Ongoing,8722612610594,848238.936,1485863.442, , , , ,236817.177, , ,43848.956,291341.033, ,83173.255, ,77562.391,84329.09, ,270783.445,204292.572,54594.808,51481.337,33412.07,1431636.139
Germany (KFW) ,Contribution to CABS II (Investment),Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,01/10/2010,01/10/2010,30/06/2012,None,Ongoing,8722612610819,27759007.95,16354041.83, , , , , , , , , , , , , ,3303306.157, , , , , , ,3303306.157
Germany (KFW) ,Sector Programme Rural Health Facilities,Direct Project Support,Grant,HEALTH, ,18/12/2000,18/12/2000,30/06/2006,None,Closed,872261129743,4169195.495,5937981.254, ,7365.571, , , , , , , , , , , , , , , , , , ,7365.571
Germany (KFW) ,Contribution to CABS I (Investment),Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,18/12/2009,18/12/2009,,None,Closed,872261249894,0,13081661.31, , , , , , , , , , ,6970003.485,6111657.827, , , , , , , , ,13081661.31
Germany (KFW) ,"Water Supply Mangochi District, Phase II",Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,,01/07/2003,31/12/2006,None,Closed,872261229825,4655143.569,5031107.886, , , , , , , ,64062.457, , , , , , , , , , , , ,64062.457
Germany (KFW) ,Improvement of Health Services Chitipa District,Direct Project Support,Grant,HEALTH,Ministry of Health,,01/07/2000,01/07/2006,None,Closed,872261229807,2643949.793,3447944.412, , , , , ,13805.704, , , , , , , , , , , , , , ,13805.704
Germany (KFW) ,Zomba Integrated Health Care,Direct Project Support,Grant,HEALTH,Ministry of Health,,01/07/2000,01/07/2006,None,Ongoing,872261229801,3039676.57,4018889.144, , , ,243731.505, ,54405.398, , , , , , , , , , , , , , ,298136.904
Germany (KFW) ,Health Sector Maintenance Programme,Direct Project Support,Grant,HEALTH,Ministry of Health,,01/07/2006,01/07/2010,None,Ongoing,872261229767,7621660.759,511310.749,202960.257,-548261.048, ,100584.712, , , , , , , , , , , , , , , , ,-244716.079
Global Fund (HIV/AIDS & Malaria),HIV AIDS Round 1 - off shore support,Sector Support - NAC,Grant,HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",,,,None,Ongoing,8722617611016,52200000,112099140, , , , , , , , , , , , , , , , , ,44856606, , ,44856606
Global Fund (HIV/AIDS & Malaria),HIV/AIDS Round 1,Sector Support - NAC,Grant,HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",10/02/2003,10/02/2003,31/03/2015,None,Ongoing,8722611610418,553619443,131730811, , , , ,18648990,17606543, ,33757992, ,15491138, , ,33787055,8039074,1901097, , ,2498922, , ,131730811
Global Fund (HIV/AIDS & Malaria),HIV/AIDS Round 7,Sector Support - NAC,Grant,HEALTH,"Nutrition, HIV and AIDS and National AIDS Commission",30/09/2008,30/09/2008,31/03/2013,None,Ongoing,8722611610420,36025380,19948298, , , , , ,5076095, , ,4453822, , , , ,2500000, , ,5798679, , , ,17828596
Global Fund (HIV/AIDS & Malaria),Malaria Round 9,Health SWAp - Discrete,Grant,HEALTH,Ministry of Health,,01/01/2011,31/12/2011,None,Ongoing,8722612610868,25229484,20431842, , , , , , , , , , , , , , ,16083750, ,4348092, , , ,20431842
