Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
  IPA 2008 - Supervision for Implementation of Energy Efficiency Measures in Public Buildings," - Gjakova
 - Gjilan
 - Pristina",European Union Office,230 - ENERGY GENERATION AND SUPPLY,Kantor Symbouloi Epicheiriseon AE,Ministry of Economic Development,0,0,232128.704,145827.388,0,0,232128.704,145827.388
  IPA 2008 - Further Support to the Budget Development Management System (BDMS), ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Ace Acesorio de Comercio Exterior SL,Ministry of Finance,0,0,191262.748,115824.959,0,70284.192,191262.748,186109.151
  IPA 2008 - IT Pilot Project in the field of Education - LOT 2, ,European Union Office,110 - EDUCATION,CACTTUS sh.a,"Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  IPA 2008 - Further support to enhance the administrative and management capacity of the Privatization Agency of Kosovo (PAK), ,European Union Office,250 - BUSINESS AND OTHER SERVICES,Privatization Agency of Kosovo,Privatization Agency of Kosovo,0,0,8121599.999,3307440,0,3484491.382,8121599.999,6791931.382
  IPA 2008 - Public Awareness Campaign for Promoting Energy Efficiency and Renewable Energy Resources, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,Exergia - Symvouloi Energieas Pliroforikis Technologias Kai Diokisis AE,Ministry of Economic Development,0,0,417098.25,168955.08,0,108553.745,417098.25,277508.825
  IPA 2008 - Implementation of Energy Efficiency Measures in Public Buildings," - Gjakova
 - Gjilan
 - Pristina",European Union Office,230 - ENERGY GENERATION AND SUPPLY,RAFII,Ministry of Economic Development,0,0,1642580.899,998047.103,0,0,1642580.899,998047.103
  IPA 2008 - Study for Decommissioning of Kosovo A Power Plant, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,EVONIK,Ministry of Economic Development,0,0,199587.122,124544.374,0,71652.53,199587.122,196196.905
  IPA 2008 - Sector Wide Approach in Health: Feasibility Study and Mapping, ,European Union Office,120 - HEALTH,Eptisa,Ministry of Health,0,0,704931.33,285548.379,0,238747.474,704931.33,524295.853
  IPA 2008 - TA for the preparation of the tender dossier for ''Support on upgrading power transmission system to meet the Energy Community technical standards'', ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,COWI Group,N/A Beneficiary Organization,0,0,278705.841,175074.038,0,0,278705.841,175074.038
  IPA 2008 - Preparation of IT project in Tax Administration, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Aide a la Decision Economique SA,Kosovo Customs Services,0,0,257397,35059.958,0,200077.783,257397,235137.741
  IPA 2008 - Supervision of works for closing of municipal dumpsites," - Ferizaj
 - Fushe Kosova
 - Gjakova
 - Kacanik
 - Klina
 - Lipjan
 - Podujeva
 - Pristina",European Union Office,140 - WATER AND SANITATION,Planet AE,Ministry of Environment and Spatial Planning,0,0,296301.952,0,0,0,296301.952,0
  IPA 2008 II - Upgrade of Infrastructure in the Rule of Law Sector, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,"LOUIS BERGER Group, Inc",Ministry of Justice,1090374.88,0,0,480572.927,0,631504.06,1090374.88,1112076.988
  You Should Change - Be Aware, ,Embassy of Netherlands,120 - HEALTH,Independent Women's Association Hareija,Independent Women's Association Hareija,0,0,0,0,0,0,0,0
  The Architects on Tour: Building Peace through Music,Mitrovica,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Community Building Mitrovica,Community Building Mitrovica,0,0,0,0,0,0,0,0
  IPA 2007 - Reconstruction works for bridges in the M2 road, ,European Union Office,210 - TRANSPORT AND STORAGE,Vegrad,Ministry of Transport and Post Telecommunication,0,0,8272457.834,2371868.13,0,5310074.309,8272457.834,7681942.44
  Aufklärungsunterricht Kosovo2, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,19000.48,0,19000.48,0
  School of Sports2,Gracanica,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2008 - Operational support to the Regional Development Agency - RDA North (Mitrovica),Mitrovica,European Union Office,400 - MULTISECTOR/CROSS-CUTTING,Agjencia per Zhvillimrajonal,Municipality of Mitrovica,0,0,206715,165372,0,0,206715,165372
  Graduation Response Fund, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Agriculture Census, ,Department for International Development," - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES
 - 311 - AGRICULTURE", ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2007 - Education in Kosovo: Inter/culturalism and the Bologna Process, ,European Union Office,110 - EDUCATION,Council of Europe,"Ministry of Education, Science and Technology",2167060,582769.933,0,642110.773,0,600290.796,2167060,1825171.503
  Conference: North Kosovo and EU Perspective,Mitrovica,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Audit of Voter List in Kacanik,Kacanik,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Horizontet e Shkollimt,Mitrovica,Embassy of Netherlands," - 110 - EDUCATION
 - 150 - GOVERNMENT AND CIVIL SOCIETY", ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Bosniak Days,Prizren,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2008 - Closing of eight municipal uncontrolled dumpsites," - Ferizaj
 - Fushe Kosova
 - Gjakova
 - Kacanik
 - Klina
 - Lipjan
 - Podujeva
 - Pristina",European Union Office,140 - WATER AND SANITATION,Ergasis Techniki AE,Ministry of Environment and Spatial Planning,0,0,3996232.653,479465.071,0,2484025.922,3996232.653,2963490.993
  Child Friendly Schools Standards Development, ," - Embassy of Netherlands
 - United Nations Children's Fund",110 - EDUCATION,United Nations Children's Fund,"Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  School Violence Prevention, ," - Embassy of Netherlands
 - United Nations Children's Fund",110 - EDUCATION," - Kosovo Education Centre
 - United Nations Children's Fund","Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  Early Childhood Development, ,United Nations Children's Fund,110 - EDUCATION,United Nations Children's Fund,"Ministry of Education, Science and Technology",0,0,0,0,0,0,0,0
  European College Business Studies & Public Administration Mitrovica," - Mitrovica
 - North Mitrovica",Sweden,110 - EDUCATION,SPARK," - Ministry of Education, Science and Technology
 - Municipality of Mitrovica",1245417.57,1245417.57,0,0,0,0,1245417.57,1245417.57
"  South East European Development Programme on Plant Genetic Resources, SEEDNet phase II", ,Sweden,311 - AGRICULTURE, ,N/A Beneficiary Organization,153633.129,153633.129,33485.293,37302.11,49349.005,48551.42,236467.428,239486.66
  Private Sector and MDG's, ,United Nations Development Programme,250 - BUSINESS AND OTHER SERVICES,United Nations Development Programme,N/A Beneficiary Organization,0,0,41739,41739,51500,51500,93239,93239
  Support to the Rule of Law, ,Government of Denmark,150 - GOVERNMENT AND CIVIL SOCIETY,United Nations Development Programme,Ministry of Justice,0,0,0,0,76500,76000,76500,76000
"  Improving education and health status of IDPs in Osterode camp , Mitrovica as part of the evacuation and relocation process"," - Mitrovica
 - Zvecan"," - German Government
 - United Nations Children's Fund",120 - HEALTH,Kosovo Red Cross,N/A Beneficiary Organization,0,0,30845,30845,0,0,30845,30845
  IPA 2007 - Assistance to the Patent Office, ,European Union Office,331 - TRADE POLICY AND REGULATIONS AND TRADE-RELATED ADJUSTMENT,European Patent Organisation," - Investment Promotion Agency of Kosovo
 - Ministry of Trade and Industry",0,0,1254874.202,263613.599,0,593151.354,1254874.202,856764.954
  Ferizaj Arts Project,Ferizaj,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Handikos “Association of paraplegics and children paralyses”,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Restoration of Wall paintings of Bogorodica Ljeviska Church Prizren,Prizren," - Embassy of the Czech Republic
 - Greece
 - Italian Ministry of Cultural Heritage",160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,"United Nations Educational, Scientific and Cultural Organization",Ministry of Culture Youth and Sports,0,0,0,0,0,0,0,0
  Confidence Building Measures in Kosovo, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Balkan Trust for Democracy,Project on Ethnic Relations,0,0,0,0,37618.298,37618.298,37618.298,37618.298
  Promoting Greater Transparency of Public Institutions in Kosovo, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Balkan Trust for Democracy,Speak Up,0,0,0,0,48804,48804,48804,48804
  Strenghtening Civic Oversight in Public Contracts, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Balkan Trust for Democracy,Initiative for Progress,0,0,0,0,22804.981,0,22804.981,0
  FC Omladinac- Goarzdevac,Peja,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,NGO Metohija,NGO Metohija,0,0,0,0,8813.488,7020.068,8813.488,7020.068
  Mitrovica Summer University (MYP 2009-2010)," - Mitrovica
 - North Mitrovica",Embassy of Netherlands,110 - EDUCATION,SPARK,SPARK,0,0,510574.553,467217.92,0,0,510574.553,467217.92
  Parliamentary Oversight, ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,East West Parliamentary Practice Project,East West Parliamentary Practice Project,0,0,337815.072,119229.022,0,196137.266,337815.072,315366.288
  Regional Commision for Truthtelling (RECOM), ,Embassy of Netherlands,150 - GOVERNMENT AND CIVIL SOCIETY,Humanitarian Law Centre,Humanitarian Law Centre,1217975.46,354984,0,424195.979,0,461378.858,1217975.46,1240558.838
  Surprise Day,Gjilan,Embassy of Netherlands,110 - EDUCATION, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  HIV-AIDS and Children, ,United Nations Children's Fund," - 120 - HEALTH
 - 130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH"," - Ministry of Health
 - United Nations Children's Fund",Ministry of Health,0,0,0,0,0,0,0,0
  UNKT Joint Programme on Gender Violence-Child Protection System Mapping and Assessment in Kosovo -UNICEF Part, ," - Embassy of Netherlands
 - United Nations Children's Fund
 - United States Agency for International Development"," - 130 - POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH
 - 150 - GOVERNMENT AND CIVIL SOCIETY",United Nations Children's Fund,Government of Kosovo,0,0,0,0,69894,69894,69894,69894
  CAPACITY DEVELOPMENT FACILITY KFOS, ," - Kosovo Foundation of Open Society
 - Norway",150 - GOVERNMENT AND CIVIL SOCIETY," - Kosovo Foundation of Open Society
 - United Nations Development Programme"," - Government of Kosovo
 - Ministry of Public Administration",0,0,0,0,1138501,119416,1138501,119416
  Support to Implementation of the KosovoYouth Action Plan, ,United Nations Development Programme,998 - UNALLOCATED/ UNSPECIFIED,United Nations Development Programme,Ministry of Culture Youth and Sports,0,0,13000,12975,0,0,13000,12975
  Capacity gap on coordination support, ,Norway,400 - MULTISECTOR/CROSS-CUTTING,UNDCO / UNKT,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2007 - Assistance to the Energy Regulatory Office, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,LDK Consultants,Ministry of Economic Development,1337064.96,374863.104,0,311666.376,0,360467.828,1337064.96,1046997.308
  EIDHR 2007 - Trafficking Prevention for Vulnerable Youth and Women in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Qendra për mbrojtjen e viktimave dhe parandalimin e trafikimit të qenieve njerëzore,Civil Society,98381.28,78705.024,0,0,0,0,98381.28,78705.024
  IPA 2007 Technical Assistance to design the Terms of Reference for the 'IT pilot project' under IPA 2008 AP, ,European Union Office,110 - EDUCATION, ,"Ministry of Education, Science and Technology",0,0,36191.85,38702.56,0,0,36191.85,38702.56
  IPA 2008 - Additional Equipment for Kosovo Border and Boundary Police, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,Ministry of Internal Affairs,0,0,0,0,0,0,0,0
  IPA 2008 - TA for Preparation of Terms of Reference for the IPA 2009 Support to Legal Translators/Interpreters and legal linguists project, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,IBF International Consulting SA,"Ministry of Education, Science and Technology",0,0,53609.251,0,0,31102.956,53609.251,31102.956
  EIDHR 2009 & 2010 training sessions to civil society organisations, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,CEO Pronet,Civil Society,0,0,0,0,67404.92,60443.87,67404.92,60443.87
  IPA 2007 - Equipment for Kosovo Border and Boundary Police, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Online Datasysteme GMBH,Kosovo Police,867506.296,0,0,491157.076,0,346113.224,867506.296,837270.301
  IPA 2008 - Preparation for implementation of agricultural and rural development policy in Kosovo, ,European Union Office,311 - AGRICULTURE,Austria,"Ministry for Agriculture, Forestry and Rural Development",0,0,2117250,1160368.798,0,728920.556,2117250,1889289.353
  Joint Programme on improving health of Women and children, ,Luxembourg,120 - HEALTH,United Nations Children's Fund,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to Kosovo Property Agency, ,Sweden,150 - GOVERNMENT AND CIVIL SOCIETY,Kosovo Property Agency,Ministry of Finance,1184028.393,1017924.888,871792.299,972746.391,0,0,2055820.693,1990671.279
  Swiss Kosovo Local Governace and Decentralization Support (LOGOS) Phase II," - Hani i Elezit
 - Kacanik
 - Kamenica
 - Kllokot
 - Novoberda
 - Ranilluk
 - Shterpce
 - Vitia",Swiss Agency for Development and Cooperation,150 - GOVERNMENT AND CIVIL SOCIETY,Intercooperation," - Municipality of Hani i Elezit
 - Municipality of Kacanik
 - Municipality of Kamenica
 - Municipality of Kllokot
 - Municipality of Novoberda
 - Municipality of Ranillug
 - Municipality of Shterpce
 - Municipality of Vitia",1226616.308,886626.656,626334.798,1310171.397,1415956.93,1794842.796,3268908.037,3991640.85
  Developing culture through education,Pristina,Embassy of Netherlands,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IFS-RRM/2009 - Conflict prevention in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Care International,N/A Beneficiary Organization,0,0,961843.2,160164.387,0,434055.166,961843.2,594219.553
  EIDHR 2007 - Promoting the Protection of Minority Rights in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,Humanitarian Law Centre,N/A Beneficiary Organization,124386.393,99509.622,0,0,0,0,124386.393,99509.622
  IPA 2009 - Further support on Kosovo A TPP decommissioning process, ,European Union Office,230 - ENERGY GENERATION AND SUPPLY,Resources and Logistics,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  EIDHR 2008 - Power sharing - Basis for Coexistence in Kosovo, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY,OJQ - Qendra Kosovare per Zhvillim,N/A Beneficiary Organization,0,0,127007.762,98485.774,0,0,127007.762,98485.774
  Lead Agency - Localisation of Minority protection and return Programme,Mitrovica,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Office of the United Nations High Commissioner for Refugees,N/A Beneficiary Organization,137725.362,137725.362,0,0,0,0,137725.362,137725.362
  Women Can Do It, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,82440.405,82440.405,0,0,0,0,82440.405,82440.405
  Provision of Services and management of Osterode Camp in Mitrovica,Mitrovica,Norway,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,248710.397,135146.378,0,0,0,0,248710.397,135146.378
  Civil Rights Program Kosovo, ,Norway,150 - GOVERNMENT AND CIVIL SOCIETY,Civil Rights Program Kosovo,N/A Beneficiary Organization,0,0,384776.277,384776.277,332108.471,332108.471,716884.749,716884.749
  Provisions of Services and Management of Osterode Camp Mitrovica,Mitrovica,Norway,700 - HUMANITARIAN AID,Kosovo Agency for Advocacy and Development,N/A Beneficiary Organization,0,0,65821.677,65821.677,0,0,65821.677,65821.677
"  Adviser to the KSF on Military Matters, NATO Advisory Team (NAT) 2011-2012- Implemented by Ministry of Defence", ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY,United Kingdom of Great Britain and Northern Ireland,N/A Beneficiary Organization,0,0,0,0,168219.995,149413,168219.995,149413
  Vetting, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,13956.601,12928,21409.817,21409.817,35366.419,34337.817
  Director NATO Advisory Team 2011-2012 implemented by Ministry of Defence, ,United Kingdom of Great Britain and Northern Ireland,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,183512.722,183512.722,183512.722,183512.722
