Project Title,AMP ID,Cris Number,Modalities,Objective,Project Description,Status,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Classification Date,Funding Status,Type Of Assistance,Actors,Issues,Measures Taken,Primary Sector,Primary Sector Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Responsible Organization,Executing Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,National Planning Objectives Level 4,National Planning Objectives Level 5,National Planning Objectives Level 6,National Planning Objectives Level 7,National Planning Objectives Level 8,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Description,Secondary Program,Secondary Program Level 1,Secondary Program Level 8,Financial Instrument,FY,Ministry Code,On/Off/Treasury Budget,Project Code,Donor Observations,Line Ministries Observations,Actual Approval Date,Actual Closed Date,Actual Start Date,Proposed Completion Date,Proposed Project Life,Proposed Start Date,Departement,Implementation Level,District,Region,Proposed Project Amount,2011 Planned Commitments,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Disbursements,2011 Planned Expenditures,2011 Actual Expenditures,2012 Planned Commitments,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Disbursements,2012 Planned Expenditures,2012 Actual Expenditures,2013 Planned Commitments,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Disbursements,2013 Planned Expenditures,2013 Actual Expenditures,2014 Planned Commitments,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Disbursements,2014 Planned Expenditures,2014 Actual Expenditures,Planned Commitments,Actual Commitments,Actual Disbursements,Planned Disbursements,Planned Expenditures,Actual Expenditures
  Appui a l'elaboration des comptes de la sante 2013,112007177614,100%, , ,- Collecte des donnees pour l&#39;elaboration des comptes de la sante 2013,Closed,Organisation Mondiale de la Sante,Systeme des Nations Unies,Multilateral,Don projet,01/03/2014,Closed,Don financier, , , ,07 - SANTE, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,120 - SANTE,Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",L’efficacite et l’efficience du systeme de Sante sont ameliorees, , , , , , , , , , , , , , ,,,Off Budget, , , ,01/03/2014,,01/03/2014,,,, ,National, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49770,42622.005,49770,0,0,0,49770,42622.005,49770,0,0
  Programme de riposte contre l'Ebola (PRCE),112007134511,,Totally acquired,Le Programme vise a accompagner les effort de la CI pour surmonter les concequences de l'epidemie d'Ebola et soutenir l'elan pris par ce pays en faveur de la croissance inclusive et de la reduction de la pauvrete.,"Composante 1: Renforcer les systemes de sante et les ressources humaines   Composante 2: Assurer la nutrition, la securite alimentaire et la protection sociale",Ongoing,Fonds Africain de Developpement,Groupe Banque Africaine de Developpement,Multilateral,Appui Budgetaire General,01/10/2014,Ongoing,Don financier, , , ,07 - SANTE, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX," - 120 - SANTE
 - 122 - SANTE DE BASE",Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida", , , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,On Budget,611 9503 01, , ,01/10/2014,,01/10/2014,,,01/10/2014, ,National, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8727998.764,5789871.358,8727998.764,0,0,0,8727998.764,5789871.358,8727998.764,0,0
  Prevention de la tuberculose multi resistante par le renforcement de la prise en charge globale de la tuberculose ,11200713727,,Totally acquired,Reduire la charge de morbidite liee a la Tuberculose en mettant a profit les connaissances acquises en matiere de lutte et en garantissant des soins de qualite a tous les patients touches par la Tuberculose,"Composante 1: Continuer d&#39;etendre la strategie DOTS de qualite et poursuivre son amelioration    Composante 2: Lutter contre la Tuberculose multi resistante et les coinfections tuberculose/VIH    Composante 3: Renforcer les partenariat public-prive    Composante 4: Intensifier les actions de sensibilisation grâce a l&#39;utilisation des medias de masse et a l&#39;encagement des communautes,",Ongoing,Fonds Mondial,Autres Multilateraux,Multilateral,Don projet,20/09/2010,Ongoing,Don financier, ," - Le DAO sur les rehabilitations redige par la DIEM et presente par le PNLT n'est pas approuve par le Fonds Mondial qui estime que les coûts unitaires restent trop eleves malgre les revisions successives.
 - Le processus de l'approbation des dossiers est tres long"," - Plaidoyer aupres du bailleur pour reduire les delais d'approbation des dossiers.
 - un expert en bâtiment a ete recrute pour fait la revue des sites a rehabiliter en vue de determiner les coûts consensuels",07 - SANTE,"076 - Sante, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,122 - SANTE DE BASE,Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",La lutte contre le VIH/SIDA et les autres problemes prioritaires de sante est renforcee, , , , , ,"OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies","OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,On Budget,622990701, ,"ce projet est inscrit dans le budget national sous l’appellation ""Programme de lutte contre la Tuberculose""",20/09/2010,30/06/2015,15/11/2011,30/06/2015,,20/09/2010, ,National, , ,21378794.88,0,0,0,0,0,0,0,21378794.88,0,0,0,0,0,0,3076806.694,5582286.483,0,0,0,0,2228713.984,5771694.602,0,0,0,21378794.88,7296557.907,16228238.47,0,0
  Fonds Français MUSKOKA - Sante Infantile - OMS 2014,112007131010,57%,Totally acquired,Accelerer la lutte contre la mortalite maternelle neonatale et infentile,Composante 1: Planning familial   Composante 2: Sante maternelle et perinatale;   Composante 3: Sante infentile;   Composante 4: Ressources humaines;   Composante 5: Medicaments essentiels,Ongoing,Gouvernement Français,Cooperation France,Bilateral,Don projet,01/01/2012,Ongoing,Don financier, ,Demarrage tardif des activites lie au retard de la mise a disposition des fonds.,Rendre disponible a temps les fonds pour la realisation des activites planifiees.,07 - SANTE, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,122 - SANTE DE BASE,Ministere de la Sante et de la Lutte Contre le Sida,Organisation Mondiale de la Sante,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",L'offre et la qualite des prestations des services de sante sont ameliorees, , , , , ,OBJECTIF 4 - Reduire la mortalite infantile,OBJECTIF 4 - Reduire la mortalite infantile, , , , , , , ,,,Off Budget, , ,Le montant total du financement du projet n'est pas connu durant toute la periode d'execution,01/01/2012,31/12/2016,01/01/2012,31/03/2013,,01/01/2012," - BANGOLO
 - BLOLEQUIN
 - DUEKOUE
 - FRESCO
 - GUIGLO
 - KOUIBLY
 - LAKOTA
 - TOULEPLEU",Sous-Prefecture Level," - CAVALLY
 - GBOKLE
 - GUEMON
 - LoH-DJBOUA"," - BANGOLO
 - BLOLEQUIN
 - DUEKOUE
 - FRESCO
 - GUIGLO
 - KOUIBLY
 - LAKOTA
 - TOULEPLEU",621600,0,0,0,0,0,0,0,621600,206833.813,210000,0,0,0,0,195384.821,210000,0,0,0,0,137372.258,199139.882,0,0,0,621600,539590.892,619139.882,0,0
"  Passage a echelle des interventions de lutte contre le paludisme en Cote d'Ivoire dans un contexte de reconstruction nationale, Phase II.",11200713728,,Totally acquired,"1. Amener au moins 80% de la population a dormir sous MILDA d'ici 2014 2. Amener au moins 80% des femmes enceintes a prendre deux doses de SP en chimio prevention (TPI) d'ici 2014, 3. Assurer la prise en charge selon le protocole national d'au moins 80% des cas de paludisme d'ici 2014;",Composante 1. Moustiquaires impregnees (MII);  Composante 2. Prevention du paludisme pendant la grossesse;  Composante 3.Diagnostic;  Composante 4. Traitement antipaludique rapide et efficace;,Ongoing,Fonds Mondial,Autres Multilateraux,Multilateral,Don projet,01/01/2010,Ongoing,Don financier, ,Processus de validation dossiers long ce entraine un retard dans la mise en œuvre des activites du projet, ,07 - SANTE,"076 - Sante, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,122 - SANTE DE BASE,Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",L'offre et la qualite des prestations des services de sante sont ameliorees, , , , , ,"OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies","OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,On Budget,622950101, , ,01/01/2010,30/09/2015,01/01/2012,31/12/2014,,01/01/2012, ,National, , ,114658887.8,0,0,0,0,0,0,0,114658887.8,0,0,0,0,0,0,0,0,0,0,0,0,21666036.41,35700000,0,0,0,114658887.8,21666036.41,38317241.85,0,0
  Projet d’Appui a la Redynamisation du Systeme de Sante Ivoirien (PARSSI),11200713909,32%,Totally acquired,"Contribuer a la lutte contre la pauvrete par la redynamisation du systeme de sante ivoirien et l'amelioration de l'etat de sante des populations ivoiriennes, en particulier des plus vulnerables (en consideration du genre). Le projet contribuera ainsi a l'avancee des OMD 4, 5 et 6",Composante 1: Appui institutionnel;    Composante 2: Acces aux medicaments essentiels de qualite;    Composante 3: Offre de soins communautaire,Ongoing,Fonds Europeen pour le Developpement 10,Commission Europeennne,Multilateral,Don projet,23/11/2011,Ongoing,Don financier, , , ,07 - SANTE,"076 - Sante, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"121 - SANTE, GENERAL",Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",L'offre et la qualite des prestations des services de sante sont ameliorees, , , , , ," - OBJECTIF 4 - Reduire la mortalite infantile
 - OBJECTIF 5 - Ameliorer la sante maternelle
 - OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies"," - OBJECTIF 4 - Reduire la mortalite infantile
 - OBJECTIF 5 - Ameliorer la sante maternelle
 - OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,Off Budget, , , ,23/11/2011,,23/11/2011,31/12/2016,,23/11/2011, ,District Level," - ABIDJAN
 - GBEKE
 - SAN-PEDRO
 - TONKPI", ,20662645.5,0,20662645.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363629.652,832559.248,0,0,0,20662645.5,363629.652,832559.248,0,0
"  Projet de renforcement des capacites du secteur de la sante en prevention, soins et traitement lies au VIH/sida (Projet COP 12 - PEPFAR)",11200713658,,Totally acquired,1) Ameliorer la coordination des interventions VIH dans le secteur sante 2) Renforcer le cadre reglementaire et promouvoir l'hygiene hospitaliere les maladies 3) Renforcer la gestion d'information strategique dans le secteur de la sante,Composante 1: Renforcement du Systeme de sante;  Composante 2: Coinfection TB/VIH; Hygiene Hospitaliere Securite des Injection et Gestion des dechets medicaux;  Composante 3: Assurance qualite des laboratoires  Composante 4: Gestion de l'Information Strategique.,Ongoing,President's Emergency Plan For AIDS Relief,Cooperation etats-Unis,Bilateral,Don projet,30/09/2010,Ongoing,Don financier, ,Les subventions sont accordees chaque annee par CDC Atlanta. Accord tardif des requetes de financement par le CDC pays pour le demarrage effectif des activites chaque annee.,Plaidoyer aupres du bailleur pour ameliorer les delais de validation des requetes pour la mise en œuvre des activites.,07 - SANTE,"071 - Produits, appareils et materiels medicaux",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,130 - POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE,Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",La lutte contre le VIH/SIDA et les autres problemes prioritaires de sante est renforcee, , , , , ,"OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies","OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,Off Budget, , , ,03/09/2010,31/03/2016,30/09/2010,29/09/2015,,30/09/2010, ,National, , ,11311593.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344509.798,1344509.798,0,0,0,0,2528480.042,7273033.979,0,0,0,11311593.3,3872989.84,8617543.777,0,0
  Renforcement des services VIH pour les populations stigmatisees - Multipays,112007133708,,Totally acquired,"Reduction de l'incidence des IST et coinfections du VIH et amelioration des l'acces des populations les plus stigmatisees a une offre de soins de qualite, perenne et integree","Appui a 3 associations (Espace Confiance, Alternatives Cote d&#39;Ivoire, Renaissance Sante Bouake) pour l&#39;amelioration de l&#39;offre et de la qualite des services de depistage, de diagnotic et de traitement",Ongoing,Agence Francaise de Developpement,Cooperation France,Bilateral,Don projet,26/07/2013,Ongoing,Don financier, , , ,07 - SANTE, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,160 - INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS,Ministere de la Sante et de la Lutte Contre le Sida,SIDACTION,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",La lutte contre le VIH/SIDA et les autres problemes prioritaires de sante est renforcee, , , , , ,"OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies","OBJECTIF 6 - Combattre le VIH/sida, le paludisme et d'autres maladies", , , , , , , ,,,Off Budget,CCI1908, , ,26/07/2013,31/03/2016,10/12/2013,,,10/12/2013, ,National, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,613620,195999.999,195999.999,0,0,0,0,121621.499,0,0,0,0,613620,317621.499,277695.25,0,0
  Introduction du Vaccin Anti- Pneumococcique (Renforcement du Programme Elargie de Vaccination),11200713729,,Totally acquired,Reduire le taux de mortalite chez les enfants par la vaccination,"Composante 1: Approvisionnement en vaccins;  Composante 2: Mise en œuvre des activites d'intensification;  Composante 3: Renouvellement du parc Auto, Moto et de la chaîne du froid",Ongoing," - Etat
 - Gavi Alliance"," - Autres Multilateraux
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes"," - 31/08/2012
 - 01/03/2014",Ongoing," - Don financier
 - Etat Contrepartie", ,Le bailleur exige que les fonds mis a disposition du pays soient inscrits dans dans le budget national. L’inscription de ces fonds GAVI au SIFIP dans le budget PEV en cours d'annee entraine un retard dans les decaissements., ,07 - SANTE,"076 - Sante, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"121 - SANTE, GENERAL",Ministere de la Sante et de la Lutte Contre le Sida, ,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida",L'offre et la qualite des prestations des services de sante sont ameliorees, , , , , , , , , , , , , , ,,,On Budget,622 9505 01, ," - Ce projet est inscrit dans le budget sous l'appellation ""Renforcement du Programme elargie de Vaccination""
 - vaccins disponibles actuellement; Arrete signe pour l'integration du financement GAVI dans la base SGFIP.Phase d'engagement pour la mise a disposition des fonds sur la la regie GAVI SSV",31/08/2012,,01/03/2014,,,01/03/2014, ,National, , ,13591200,0,0,0,0,0,0,0,13065675,0,0,0,0,0,0,0,0,0,0,0,525525,1114409.541,2306378.646,0,0,0,13591200,1114409.541,5024860.634,0,0
  Projet MUSKOKA - Sante de la Reproduction et Planing Familial - ONUFEMMES 2014,112007137698,0%,Totally acquired,"Lutter contre la Mortalite maternelle, neo natale et infantile","Composante 1: Renforcer le leadership et la gouvernance des actions de sante,   Composante 2: Renforcer les systemes d'information sanitaire, iii)financer la sante,   Composante 3: Renforcer l'acces aux produits et technologies medicales essentiels,   Composante 4: Renforcer la prestation des services de sante maternelle, neonatale et infanto-juvenile et sante reproductive,   Composante 5: Faire la promotion au niveau familiale et communautaire des pratiques familiales essentielles,   Composante 6: Faire le suivi, evaluation et documentation",Ongoing,Gouvernement Français,Cooperation France,Bilateral,Don projet,01/12/2011,Ongoing,Don financier, ," - Absence de traçabilite dans le financement direct effectue par le bailleur sur le projet.
 - Le montant total du financement de ce projet au titre de l'annee 2014 n'est pas n'est pas mis a la disposition du MSLS pour son execution"," - Le bailleur doit mettre a la disposition des acteurs du MSLS le montant du financement pour son execution via le compte BNI appele « MSP-URGENCES-EPIDEMIES » ouvert a cet effet; Il doit egalement mettre a disposition des acteurs les rapports relatifs aux financements directs effectues par le bailleur.
 - Le partenaire doit mettre a la disposition du MSLS les fonds du projet via le compte «Urgence Epidemies» ouvert a la BNI.",07 - SANTE, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,130 - POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE,Ministere de la Sante et de la Lutte Contre le Sida,Organisation des Nations Unies pour l'egalite des sexes et l'autonomisation des femmes,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida", , , , , , ,OBJECTIF 5 - Ameliorer la sante maternelle,OBJECTIF 5 - Ameliorer la sante maternelle, , , , , , , ,,,Off Budget, , ,Ces fonds ne sont pas mis a la disposition du MSLS pour leur execution,01/12/2011,,,,,01/01/2012," - BANGOLO
 - BIANKOUMA
 - DANANE
 - DIVO
 - FRESCO
 - KOUIBLY
 - LAKOTA
 - MAN
 - ZOUAN-HOUNIEN",Sous-Prefecture Level," - GBOKLE
 - GUEMON
 - LoH-DJBOUA
 - TONKPI"," - BANGOLO
 - BIANKOUMA
 - DANANE
 - DIVO
 - FRESCO
 - KOUIBLY
 - LAKOTA
 - MAN
 - ZOUAN-HOUNIEN", ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41580,0,41580,0,0,0,41580,0,41580,0,0
  Projet H4 + SIDA - Sante de la Reproduction et Planing Familial - ONUFEMMES 2014,112007137708,92%,Totally acquired,Accelerer les progres vers l'atteinte des OMD 4 et 5 en soutenant la mise en œuvre des plans d'actions dans le domaine de sante de la mere et de l'enfant.,"Assurer le continium de soins dans les domaines suivants:a) la sante maternelle et perinatale; b) la sante du nouveau-ne et de l&#39;enfant, et c) la sante sexuelle et reproductive a travers le renforcement des systemes de sante",Ongoing,Gouvernement Suedois,Cooperation Suedoise,Bilateral,Don projet,01/07/2013,Ongoing,Don financier, ," - Le montant du financement du projet n'est pas connu durant toute la periode d'execution.
 - Retard dans la mise a disposition des fonds pour le demarrage effectif des activites."," - Le bailleur doit mettre a la disposition des acteurs le montant total du financement durant toute sa periode d'execution.
 - Rendre disponible a temps les fonds pour la realisation des activites planifiees.",07 - SANTE, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,130 - POLITIQUE EN MATIERE DE POPULATION/SANTE ET FERTILITE,Ministere de la Sante et de la Lutte Contre le Sida,Organisation des Nations Unies pour l'egalite des sexes et l'autonomisation des femmes,"RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","RESULTAT3 : LES POPULATIONS, EN PARTICULIER LES FEMMES, LES ENFANTS ET AUTRES GROUPES VULNERABLES ONT ACCES AUX SERVICES SOCIAUX DE QUALITE DANS L’EQUIT","Sante, Nutrition et VIH/Sida", , , , , , ," - OBJECTIF 4 - Reduire la mortalite infantile
 - OBJECTIF 5 - Ameliorer la sante maternelle"," - OBJECTIF 4 - Reduire la mortalite infantile
 - OBJECTIF 5 - Ameliorer la sante maternelle", , , , , , , ,,,Off Budget, , , ,01/07/2013,,,,,01/07/2013," - BOUAKE
 - DABAKALA
 - KATIOLA
 - MINIGNAN
 - NIAKARAMADOUGOU
 - ODIENNE
 - SAKASSOU
 - TOUBA",Sous-Prefecture Level," - BAFING
 - FOLON
 - GBEKE
 - HAMBOL
 - KABADOUGOU"," - BOUAKE
 - DABAKALA
 - KATIOLA
 - MINIGNAN
 - NIAKARAMADOUGOU
 - ODIENNE
 - SAKASSOU
 - TOUBA", ,0,0,0,0,0,0,0,0,0,0,0,0,0,213570,0,0,0,0,0,0,192988.297,213570,0,0,0,213570,192988.297,213570,0,0
  Enquete de base des communautes productrices de cacao pour l'elimination du travail des enfants dans la production du cacao,cmrx_0269,,Totally acquired, , ,Closed,Bureau International du Travail,Systeme des Nations Unies,Multilateral,Don projet,06/07/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES, ,300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,"Ministere d'Etat, Ministere du Plan et du Developpement", ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture,La gouvernance du secteur agricole est amelioree, , , , , , , , , , , , , ,,,Off Budget, , , ,06/07/2012,18/09/2012,,18/09/2012,,, ,National, , ,123862.2,0,0,0,0,0,0,0,123862.2,0,123862.2,0,0,0,0,123862.2,0,0,0,0,0,0,0,0,0,0,123862.2,123862.2,123862.2,0,0
